date,total_cases,daily_cases,total_deaths,daily_deaths,recovered,hospital_stable,hospital_icu,icu_variation,active_cases,hospital_variation,under_surveillance,national_incidence,continental_incidence,national_r(t),continental_r(t)
09-04-20,13956,815,409,29,205,1173,241,-4,13342,-38,24708,,,,
10-04-20,15472,1516,435,26,233,1179,226,-15,14804,6,25914,,,,
11-04-20,15987,515,470,35,266,1175,233,7,15251,-4,25432,,,,
12-04-20,16585,598,504,34,277,1177,228,-5,15804,2,25041,,,,
13-04-20,16934,349,535,31,277,1187,188,-40,16122,10,26989,,,,
14-04-20,17448,514,567,32,347,1227,218,30,16534,40,23265,,,,
15-04-20,18091,643,599,32,383,1200,208,-10,17109,-27,26144,,,,
16-04-20,18841,750,629,30,493,1302,229,21,17719,102,26065,,,,
17-04-20,19022,181,657,28,519,1284,222,-7,17846,-18,25456,,,,
18-04-20,19685,663,687,30,610,1253,228,6,18388,-31,25456,,,,
19-04-20,20206,521,714,27,610,1243,224,-4,18882,-10,27947,,,,
20-04-20,20863,657,735,21,610,1208,215,-9,19518,-35,30805,,,,
21-04-20,21379,516,762,27,917,1172,213,-2,19700,-36,30646,,,,
22-04-20,21982,603,785,23,1143,1146,207,-6,20054,-26,30646,,,,
23-04-20,22353,371,820,35,1201,1095,204,-3,20332,-51,30342,,,,
24-04-20,22797,444,854,34,1228,1068,188,-16,20715,-27,29621,,,,
25-04-20,23271,474,880,26,1277,1040,186,-2,21114,-28,29932,,,,
26-04-20,23683,412,903,23,1329,1005,182,-4,21451,-35,30453,,,,
27-04-20,23846,163,928,25,1357,995,176,-6,21561,-10,30703,,,,
28-04-20,24141,295,948,20,1389,936,172,-4,21804,-59,29559,,,,
29-04-20,24324,183,973,25,1470,980,169,-3,21881,44,29568,,,,
30-04-20,24692,368,989,16,1519,968,172,3,22184,-12,29467,,,,
01-05-20,24987,295,1007,18,1647,892,154,-18,22333,-76,29756,,,,
02-05-20,25190,203,1023,16,1671,855,150,-4,22496,-37,27895,,,,
03-05-20,25282,92,1043,20,1689,856,144,-6,22550,1,25324,,,,
04-05-20,25524,242,1063,20,1712,813,143,-1,22749,-43,25081,,,,
05-05-20,25702,178,1074,11,1743,818,134,-9,22885,5,25066,,,,
06-05-20,26182,480,1089,15,2076,838,136,2,23017,20,24579,,,,
07-05-20,26715,533,1105,16,2258,874,135,-1,23352,36,27318,,,,
08-05-20,27268,553,1114,9,2422,842,127,-8,23732,-32,26829,,,,
09-05-20,27406,138,1126,12,2499,815,120,-7,23781,-27,26667,,,,
10-05-20,27581,175,1135,9,2549,797,112,-8,23897,-18,26344,,,,
11-05-20,27679,98,1144,9,2549,805,112,0,23986,8,28307,,,,
12-05-20,27913,234,1163,19,3013,709,113,1,23737,-96,27054,,,,
13-05-20,28132,219,1175,12,3182,692,103,-10,23775,-17,26278,,,,
14-05-20,28319,187,1184,9,3198,680,108,5,23937,-12,26082,,,,
15-05-20,28583,264,1190,6,3328,673,112,4,24065,-7,25792,,,,
16-05-20,28810,227,1203,13,3822,657,115,3,23785,-16,25419,,,,
17-05-20,29036,226,1218,15,4636,649,108,-7,23182,-8,25640,,,,
18-05-20,29209,173,1231,13,6430,628,105,-3,21548,-21,25360,,,,
19-05-20,29432,223,1247,16,6431,629,101,-4,21754,1,25487,,,,
20-05-20,29660,228,1263,16,6452,609,93,-8,21945,-20,25281,,,,
21-05-20,29912,252,1277,14,6452,608,92,-1,22183,-1,22741,,,,
22-05-20,30200,288,1289,12,7590,576,84,-8,21321,-32,26198,,,,
23-05-20,30471,271,1302,13,7705,550,80,-4,21464,-26,26130,,,,
24-05-20,30623,152,1316,14,17549,536,78,-2,11758,-14,26328,,,,
25-05-20,30788,165,1330,14,17822,531,72,-6,11636,-5,26449,,,,
26-05-20,31007,219,1342,12,18096,513,71,-1,11569,-18,26392,,,,
27-05-20,31292,285,1356,14,18349,510,66,-5,11587,-3,27141,,,,
28-05-20,31596,304,1369,13,18637,512,65,-1,11590,2,27563,,,,
29-05-20,31946,350,1383,14,18911,529,66,1,11652,17,27917,,,,
30-05-20,32203,257,1396,13,19186,514,63,-3,11621,-15,28183,,,,
31-05-20,32500,297,1410,14,19409,474,64,1,11681,-40,27924,,,,
01-06-20,32700,200,1424,14,19552,471,64,0,11724,-3,27958,,,,
02-06-20,32895,195,1436,12,19869,432,58,-6,11590,-39,28064,,,,
03-06-20,33261,366,1447,11,20079,428,56,-2,11735,-4,28093,,,,
04-06-20,33592,331,1455,8,20323,445,58,2,11814,17,28685,,,,
05-06-20,33969,377,1465,10,20526,475,64,6,11978,30,28088,,,,
06-06-20,34351,382,1474,9,20807,414,57,-7,12070,-61,29013,,,,
07-06-20,34693,342,1479,5,20995,398,58,1,12219,-16,29312,,,,
08-06-20,34885,192,1485,6,21156,366,55,-3,12244,-32,28791,,,,
09-06-20,35306,421,1492,7,21339,394,65,10,12475,28,30176,,,,
10-06-20,35600,294,1497,5,21742,417,70,5,12361,23,30398,,,,
11-06-20,35910,310,1504,7,22002,415,70,0,12404,-2,30615,,,,
12-06-20,36180,270,1505,1,22200,440,73,3,12475,25,30779,,,,
13-06-20,36463,283,1512,7,22438,428,77,4,12513,-12,30655,,,,
14-06-20,36690,227,1517,5,22669,419,73,-4,12504,-9,30658,,,,
15-06-20,37036,346,1520,3,22852,431,73,0,12664,12,30703,,,,
16-06-20,37336,300,1522,2,23212,423,71,-2,12602,-8,30810,,,,
17-06-20,37672,336,1523,1,23580,435,69,-2,12569,12,30289,,,,
18-06-20,38089,417,1524,1,24010,416,67,-2,12555,-19,30426,,,,
19-06-20,38464,375,1527,3,24477,422,67,0,12460,6,29046,,,,
20-06-20,38841,377,1528,1,24906,422,70,3,12407,0,30852,,,,
21-06-20,39133,292,1530,2,25376,407,69,-1,12227,-15,30855,,,,
22-06-20,39392,259,1534,4,25548,424,72,3,12310,17,30956,,,,
23-06-20,39737,345,1540,6,25829,441,72,0,12368,17,30248,,,,
24-06-20,40104,367,1543,3,26083,429,73,1,12478,-12,30935,,,,
25-06-20,40415,311,1549,6,26382,436,67,-6,12484,7,31113,,,,
26-06-20,40866,451,1555,6,26633,457,67,0,12678,21,31246,,,,
27-06-20,41189,323,1561,6,26864,442,70,3,12764,-15,31255,,,,
28-06-20,41646,457,1564,3,27066,458,75,5,13016,16,31299,,,,
29-06-20,41912,266,1568,4,27205,489,71,-4,13139,31,31310,,,,
30-06-20,42141,229,1576,8,27505,491,73,2,13060,2,31414,,,,
01-07-20,42454,313,1579,3,27798,503,79,6,13077,12,31389,,,,
02-07-20,42782,328,1587,8,28097,510,77,-2,13098,7,31274,,,,
03-07-20,43156,374,1598,11,28424,495,72,-5,13134,-15,31433,,,,
04-07-20,43569,413,1605,7,28772,489,73,1,13192,-6,31486,,,,
05-07-20,43897,328,1614,9,29017,504,73,0,13266,15,31457,,,,
06-07-20,44129,232,1620,6,29166,513,74,1,13343,9,31485,,,,
07-07-20,44416,287,1629,9,29445,511,76,2,13342,-2,33134,,,,
08-07-20,44859,443,1631,3,29714,512,74,-2,13514,1,33225,,,,
09-07-20,45277,418,1644,13,30049,487,73,-1,13584,-25,34102,,,,
10-07-20,45879,602,1646,2,30350,471,66,-7,13883,-16,34082,,,,
11-07-20,46221,342,1654,8,30655,459,68,2,13912,-12,34303,,,,
12-07-20,46512,291,1660,6,30907,462,64,-4,13945,3,34512,,,,
13-07-20,46818,306,1662,2,31065,467,63,-1,14091,5,34301,,,,
14-07-20,47051,233,1668,6,31550,472,69,6,13833,5,34641,,,,
15-07-20,47426,375,1676,8,32110,478,68,-1,13640,6,35316,,,,
16-07-20,47765,339,1679,3,32476,476,72,4,13610,-2,34898,,,,
17-07-20,48077,312,1682,3,32790,447,67,-5,13605,-29,35150,,,,
18-07-20,48390,313,1684,2,33153,452,65,-2,13553,5,35113,,,,
19-07-20,48636,246,1689,5,33369,439,61,-4,13578,-13,35081,,,,
20-07-20,48771,135,1691,2,33547,454,61,0,13533,15,35073,,,,
21-07-20,48898,127,1697,6,33769,439,62,1,13432,-15,35077,,,,
22-07-20,49150,252,1702,5,33999,439,59,-3,13449,0,35040,,,,
23-07-20,49379,229,1705,3,34369,431,59,0,13305,-8,34966,,,,
24-07-20,49692,313,1712,7,34687,420,52,-7,13293,-11,34870,,,,
25-07-20,49955,263,1716,4,35010,410,50,-2,13229,-10,34980,,,,
26-07-20,50164,209,1717,1,35217,403,48,-2,13230,-7,35157,,,,
27-07-20,50299,135,1719,2,35375,414,45,-3,13205,11,35120,,,,
28-07-20,50410,111,1722,3,35626,402,41,-4,13062,-12,35335,,,,
29-07-20,50613,203,1725,3,35875,403,43,2,13013,1,35339,,,,
30-07-20,50868,255,1727,2,36140,403,42,-1,13001,0,35741,,,,
31-07-20,51072,204,1735,8,36483,381,41,-1,12854,-22,35757,,,,
01-08-20,51310,238,1737,2,36783,375,40,-1,12790,-6,35661,,,,
02-08-20,51463,153,1738,1,36984,378,41,1,12741,3,36148,,,,
03-08-20,51569,106,1738,0,37111,390,42,1,12720,12,36481,,,,
04-08-20,51681,112,1739,1,37318,401,44,2,12624,11,36946,,,,
05-08-20,51848,167,1740,1,37565,384,41,-3,12543,-17,37369,,,,
06-08-20,52061,213,1743,3,37840,369,42,1,12478,-15,37783,,,,
07-08-20,52351,290,1746,3,38087,356,36,-6,12518,-13,37729,,,,
08-08-20,52537,186,1750,4,38364,357,33,-3,12423,1,37579,,,,
09-08-20,52668,131,1756,6,38511,366,33,0,12401,9,37496,,,,
10-08-20,52825,157,1759,3,38600,374,29,-4,12466,8,37810,,,,
11-08-20,52945,120,1761,2,38760,365,35,6,12424,-9,37767,,,,
12-08-20,53223,278,1764,3,38940,367,40,5,12519,2,36377,,,,
13-08-20,53548,325,1770,6,39177,358,39,-1,12601,-9,36530,,,,
14-08-20,53783,235,1772,2,39374,348,41,2,12637,-10,36345,,,,
15-08-20,53981,198,1775,3,39585,320,37,-4,12621,-28,36268,,,,
16-08-20,54102,121,1778,3,39697,325,39,2,12627,5,35742,,,,
17-08-20,54234,132,1779,1,39800,336,39,0,12655,11,35568,,,,
18-08-20,54448,214,1784,5,39936,336,38,-1,12728,0,35107,,,,
19-08-20,54701,253,1786,2,40129,329,35,-3,12786,-7,34772,,,,
20-08-20,54992,291,1788,2,40264,334,39,4,12940,5,34422,,,,
21-08-20,55211,219,1792,4,40473,321,41,2,12946,-13,34233,,,,
22-08-20,55452,241,1794,2,40652,316,42,1,13006,-5,34182,,,,
23-08-20,55597,145,1796,2,40774,317,47,5,13027,1,34413,,,,
24-08-20,55720,123,1801,5,40880,321,44,-3,13039,4,34388,,,,
25-08-20,55912,192,1805,4,41021,325,41,-3,13086,4,33821,,,,
