date,total_cases,daily_cases,total_deaths,daily_deaths,recovered,hospital_stable,hospital_icu,icu_variation,active_cases,hospital_variation,under_surveillance,national_incidence,continental_incidence,national_r(t),continental_r(t)
02-03-20,2,2,0,0,0,0,0,0,2,0,0,,,,
03-03-20,4,2,0,0,0,0,0,0,4,0,0,,,,
04-03-20,6,2,0,0,0,0,0,0,6,0,81,,,,
05-03-20,9,3,0,0,0,9,0,0,9,9,213,,,,
06-03-20,13,4,0,0,0,13,0,0,13,4,354,,,,
07-03-20,21,8,0,0,0,21,0,0,21,8,412,,,,
08-03-20,30,9,0,0,0,30,0,0,30,9,447,,,,
09-03-20,39,9,0,0,0,38,0,0,39,8,496,,,,
10-03-20,41,2,0,0,0,40,0,0,41,2,667,,,,
11-03-20,59,18,0,0,0,57,0,0,59,17,3066,,,,
12-03-20,78,19,0,0,1,107,0,0,77,50,4923,,,,
13-03-20,112,34,0,0,1,107,0,0,111,0,5674,,,,
14-03-20,169,57,0,0,1,114,10,10,168,7,5011,,,,
15-03-20,245,76,0,0,2,139,9,-1,243,25,4592,,,,
16-03-20,331,86,1,1,3,139,18,9,327,0,4592,,,,
17-03-20,448,117,1,0,3,206,17,-1,444,67,6852,,,,
18-03-20,642,194,2,1,3,89,20,3,637,-117,6656,,,,
19-03-20,785,143,3,2,3,89,30,10,779,0,8091,,,,
20-03-20,1020,235,6,2,5,126,26,6,1009,37,9008,,,,
21-03-20,1280,260,12,6,5,156,35,9,1263,30,13155,,,,
22-03-20,1600,320,14,2,5,169,41,6,1581,13,12562,,,,
23-03-20,2060,460,23,9,14,201,47,6,2023,32,11842,,,,
24-03-20,2362,302,33,10,22,203,48,1,2307,2,11842,,,,
25-03-20,2995,633,43,10,22,276,61,27,2930,73,13624,,,,
26-03-20,3544,549,60,17,43,191,61,0,3441,-85,14994,,,,
27-03-20,4268,724,76,16,43,354,71,10,4149,163,19816,,,,
28-03-20,5170,902,100,24,43,418,89,18,5027,64,19927,,,,
29-03-20,5962,792,119,19,43,486,136,47,5800,68,17785,,,,
30-03-20,6408,446,140,21,43,571,164,28,6225,85,11482,,,,
31-03-20,7443,1035,160,20,43,627,188,24,7240,56,19260,,,,
01-04-20,8251,808,187,27,43,726,230,42,8021,99,20275,,,,
02-04-20,9034,783,209,22,68,1042,240,10,8757,316,21798,,,,
03-04-20,9886,852,246,37,68,1058,245,5,9572,16,22556,,,,
04-04-20,10524,638,266,20,75,1075,251,6,10183,17,22858,,,,
05-04-20,11278,754,295,29,75,1084,267,16,10908,9,23209,,,,
06-04-20,11730,452,311,16,140,1099,270,3,11279,15,23470,,,,
07-04-20,12442,712,345,34,184,1180,271,1,11913,81,25070,,,,
08-04-20,13141,699,380,35,196,1211,245,-26,12565,31,24481,,,,
